ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,
,,,,,,,,,,,,,,,,,,,,,,"0.004538000","0.004538000",,
,,,,,,,,,,,,,,,,,,,,,,"0.525547000","0.521009000",,
,,,,,,,,,,,,,,,,,,,,,,"2.660849000","2.135302000",,
,,,,,,,,,,,,,,,,,,,,,,"4.805137000","2.144288000",,
,,,,,,,,,,,,,,,,,,,,,,"6.902218000","2.097081000",,
,,,,,,,,,,,,,,,,,,,,,,"9.104983000","2.202765000",,
,,,,,,,,,,,,,,,,,,,,,,"11.392258000","2.287275000",,
"192.168.1.2","192.168.1.1","84","1","0",,,,"64","1",,,,,,,,,,,,,"14.369410000","2.977152000",,
"192.168.1.1","192.168.1.2","84","1","0",,,,"255","1",,,,,,,,,,,,,"14.383519000","0.014109000",,
,,,,,,,,,,,,,,,,,,,,,,"14.408244000","0.024725000",,
"192.168.1.2","192.168.1.1","84","1","0",,,,"64","1",,,,,,,,,,,,,"16.367747000","1.959503000",,
"192.168.1.1","192.168.1.2","84","1","0",,,,"255","1",,,,,,,,,,,,,"16.380670000","0.012923000",,
"192.168.1.2","192.168.1.3","84","1","0",,,,"64","1",,,,,,,,,,,,,"16.382085000","0.001415000",,
,,,,,,,,,,,,,,,,,,,,,,"16.392022000","0.009937000",,
,,,,,,,,,,,,,,,,,,,,,,"16.392334000","0.000312000",,
"192.168.1.3","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"16.411826000","0.019492000",,
,,,,,,,,,,,,,,,,,,,,,,"16.581075000","0.169249000",,
"192.168.1.2","192.168.1.3","84","1","0",,,,"64","1",,,,,,,,,,,,,"18.386086000","1.805011000",,
"192.168.1.3","192.168.1.2","84","0","0",,,,"128","1",,,,,,,,,,,,,"18.394490000","0.008404000",,
"192.168.1.2","192.168.1.4","84","1","0",,,,"64","1",,,,,,,,,,,,,"18.400726000","0.006236000",,
"192.168.1.4","192.168.1.2","84","0","0",,,,"64","1",,,,,,,,,,,,,"18.416714000","0.015988000",,
,,,,,,,,,,,,,,,,,,,,,,"18.805864000","0.389150000",,
