ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,
,,,,,,,,,,,,,,,,,,,,,,"2.133492000","2.133492000",,
,,,,,,,,,,,,,,,,,,,,,,"4.356926000","2.223434000",,
,,,,,,,,,,,,,,,,,,,,,,"6.743756000","2.386830000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"64112","7.154791000","0.411035000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"64112","7.177222000","0.022431000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"64112","7.178887000","0.001665000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"64112","7.193772000","0.014885000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"64112","7.195535000","0.001763000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"64112","7.209992000","0.014457000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"64112","7.213127000","0.003135000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"64112","7.243005000","0.029878000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"64112","7.243413000","0.000408000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"64112","7.265419000","0.022006000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"55639","7.269318000","0.003899000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"55639","7.295583000","0.026265000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"55639","7.322641000","0.027058000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"55639","7.335683000","0.013042000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"55639","7.338937000","0.003254000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"55639","7.371782000","0.032845000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"55639","7.426933000","0.055151000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"55639","7.446633000","0.019700000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"55639","7.448142000","0.001509000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"55639","7.465905000","0.017763000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"58860","7.485675000","0.019770000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"58860","7.497695000","0.012020000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"58860","7.498794000","0.001099000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"58860","7.515808000","0.017014000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"58860","7.531276000","0.015468000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"58860","7.555789000","0.024513000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"58860","7.654051000","0.098262000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"58860","7.675626000","0.021575000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"58860","7.676084000","0.000458000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"58860","7.696498000","0.020414000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"63144","7.700117000","0.003619000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"63144","7.719198000","0.019081000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"63144","7.719649000","0.000451000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"63144","7.742110000","0.022461000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"63144","7.742750000","0.000640000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"63144","7.752664000","0.009914000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"63144","7.753090000","0.000426000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"63144","7.765518000","0.012428000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"63144","7.766170000","0.000652000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"63144","7.791781000","0.025611000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"54051","7.801796000","0.010015000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"54051","7.818919000","0.017123000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"54051","7.819457000","0.000538000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"54051","7.843008000","0.023551000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"54051","7.843400000","0.000392000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"54051","7.860848000","0.017448000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"54051","7.861273000","0.000425000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"54051","7.877720000","0.016447000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"54051","7.878177000","0.000457000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"54051","7.889002000","0.010825000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"51747","7.891396000","0.002394000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"51747","7.912666000","0.021270000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"51747","7.913121000","0.000455000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"51747","7.932499000","0.019378000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"51747","7.932926000","0.000427000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"51747","7.950235000","0.017309000",,
"192.168.1.3","192.168.1.1","70","0","0",,,,"128","17",,,,,,,,,,,,"51747","7.950700000","0.000465000",,
"192.168.1.1","192.168.1.3","56","0","0",,,,"255","1",,,,,,,,,,,,"51747","7.969331000","0.018631000",,
