ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,
,,,,,,,,,,,,,,,,,,,,,,"0.754911000","0.754911000",,
,,,,,,,,,,,,,,,,,,,,,,"1.096345000","0.341434000",,
,,,,,,,,,,,,,,,,,,,,,,"1.106258000","0.009913000",,
,,,,,,,,,,,,,,,,,,,,,,"2.974673000","1.868415000",,
,,,,,,,,,,,,,,,,,,,,,,"5.143926000","2.169253000",,
,,,,,,,,,,,,,,,,,,,,,,"7.288484000","2.144558000",,
,,,,,,,,,,,,,,,,,,,,,,"9.398571000","2.110087000",,
,,,,,,,,,,,,,,,,,,,,,,"11.504242000","2.105671000",,
,,,,,,,,,,,,,,,,,,,,,,"13.631803000","2.127561000",,
,,,,,,,,,,,,,,,,,,,,,,"15.779491000","2.147688000",,
,,,,,,,,,,,,,,,,,,,,,,"18.008006000","2.228515000",,
,,,,,,,,,,,,,,,,,,,,,,"20.173604000","2.165598000",,
,,,,,,,,,,,,,,,,,,,,,,"22.264051000","2.090447000",,
,,,,,,,,,,,,,,,,,,,,,,"24.369031000","2.104980000",,
,,,,,,,,,,,,,,,,,,,,,,"26.489915000","2.120884000",,
,,,,,,,,,,,,,,,,,,,,,,"28.602223000","2.112308000",,
,,,,,,,,,,,,,,,,,,,,,,"30.723395000","2.121172000",,
,,,,,,,,,,,,,,,,,,,,,,"32.568134000","1.844739000",,
,,,,,,,,,,,,,,,,,,,,,,"32.579173000","0.011039000",,
,,,,,,,,,,,,,,,,,,,,,,"32.979152000","0.399979000",,
,,,,,,,,,,,,,,,,,,,,,,"35.094721000","2.115569000",,
,,,,,,,,,,,,,,,,,,,,,,"37.265240000","2.170519000",,
,,,,,,,,,,,,,,,,,,,,,,"39.385071000","2.119831000",,
,,,,,,,,,,,,,,,,,,,,,,"41.585833000","2.200762000",,
"172.168.1.0","192.168.1.3","328","0","0",,,,"128","17",,,,,,,,,,,,"68","41.752474000","0.166641000",,
,,,,,,,,,,,,,,,,,,,,,,"41.862436000","0.109962000",,
,,,,,,,,,,,,,,,,,,,,,,"41.875031000","0.012595000",,
,,,,,,,,,,,,,,,,,,,,,,"42.098401000","0.223370000",,
,,,,,,,,,,,,,,,,,,,,,,"42.120073000","0.021672000",,
,,,,,,,,,,,,,,,,,,,,,,"42.162263000","0.042190000",,
,,,,,,,,,,,,,,,,,,,,,,"42.168147000","0.005884000",,
,,,,,,,,,,,,,,,,,,,,,"5353","42.174538000","0.006391000",,
,,,,,,,,,,,,,,,,,,,,,"5353","42.178904000","0.004366000",,
,,,,,,,,,,,,,,,,,,,,,"54482","42.181415000","0.002511000",,
,,,,,,,,,,,,,,,,,,,,,,"42.328619000","0.147204000",,
,,,,,,,,,,,,,,,,,,,,,,"42.337127000","0.008508000",,
,,,,,,,,,,,,,,,,,,,,,,"42.621323000","0.284196000",,
,,,,,,,,,,,,,,,,,,,,,,"44.040273000","1.418950000",,
,,,,,,,,,,,,,,,,,,,,,,"46.223624000","2.183351000",,
,,,,,,,,,,,,,,,,,,,,,,"48.192072000","1.968448000",,
,,,,,,,,,,,,,,,,,,,,,,"48.202433000","0.010361000",,
"0.0.0.0","255.255.255.255","328","0","0",,,,"128","17",,,,,,,,,,,,"68","48.347338000","0.144905000",,
"192.168.1.1","192.168.1.2","328","0","0",,,,"255","17",,,,,,,,,,,,"67","48.383834000","0.036496000",,
"192.168.1.3","255.255.255.255","568","0","0",,,,"64","17",,,,,,,,,,,,"67","48.386710000","0.002876000",,
"0.0.0.0","255.255.255.255","348","0","0",,,,"128","17",,,,,,,,,,,,"68","48.390944000","0.004234000",,
"192.168.1.1","192.168.1.2","328","0","0",,,,"255","17",,,,,,,,,,,,"67","48.410051000","0.019107000",,
"192.168.1.1","255.255.255.255","568","0","0",,,,"64","17",,,,,,,,,,,,"67","48.417615000","0.007564000",,
,,,,,,,,,,,,,,,,,,,,,,"48.457848000","0.040233000",,
"192.168.1.2","224.0.0.22","40","0","0",,,,"1","2",,,,,,,,,,,,,"48.473519000","0.015671000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","48.502856000","0.029337000",,
,,,,,,,,,,,,,,,,,,,,,,"48.536099000","0.033243000",,
,,,,,,,,,,,,,,,,,,,,,,"48.563928000","0.027829000",,
,,,,,,,,,,,,,,,,,,,,,,"48.599951000","0.036023000",,
"192.168.1.2","224.0.0.22","40","0","0",,,,"1","2",,,,,,,,,,,,,"48.600652000","0.000701000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","48.610033000","0.009381000",,
"192.168.1.2","192.168.1.255","96","0","0",,,,"128","17",,,,,,,,,,,,"137","48.612099000","0.002066000",,
,,,,,,,,,,,,,,,,,,,,,,"48.620334000","0.008235000",,
,,,,,,,,,,,,,,,,,,,,,,"48.621334000","0.001000000",,
"192.168.1.2","224.0.0.22","48","0","0",,,,"1","2",,,,,,,,,,,,,"48.621499000","0.000165000",,
