ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"5.215.229.83","193.236.79.106","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.000000000","0.000000000",,
"80.81.11.40","91.247.232.73","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.000385000","0.000385000",,
"122.101.157.64","65.28.232.24","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.002072000","0.001687000",,
"232.242.145.28","140.107.245.96","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.002424000","0.000352000",,
"41.77.169.4","158.155.58.61","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.007847000","0.005423000",,
"251.23.149.46","94.90.72.58","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.014302000","0.006455000",,
"167.76.158.15","248.23.20.44","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.024853000","0.010551000",,
"195.102.30.4","40.249.254.114","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.057909000","0.033056000",,
"39.59.93.72","82.73.255.21","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.068050000","0.010141000",,
"188.218.140.102","172.70.240.114","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.069910000","0.001860000",,
"142.176.163.84","107.236.140.45","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.073736000","0.003826000",,
"84.180.51.25","126.65.106.21","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.074369000","0.000633000",,
"142.138.159.74","242.50.207.40","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.081519000","0.007150000",,
"125.235.186.5","240.71.70.46","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.084081000","0.002562000",,
"23.203.15.33","156.248.18.92","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.085240000","0.001159000",,
"40.114.98.24","22.132.167.109","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.089357000","0.004117000",,
"33.40.247.72","133.246.13.14","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.091181000","0.001824000",,
"144.89.48.59","86.237.3.12","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.096119000","0.004938000",,
"107.115.152.41","226.179.38.58","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.103884000","0.007765000",,
"37.217.90.19","211.164.55.76","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.107849000","0.003965000",,
"147.115.193.48","242.81.185.117","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.118797000","0.010948000",,
"58.76.192.106","171.83.178.39","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.123924000","0.005127000",,
"31.99.250.45","35.191.205.33","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.125299000","0.001375000",,
"33.150.59.63","20.72.156.81","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.134420000","0.009121000",,
"161.185.186.12","150.220.180.60","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.145518000","0.011098000",,
"217.86.73.95","197.238.49.2","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.156035000","0.010517000",,
"137.251.128.10","222.47.140.30","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.158055000","0.002020000",,
"183.176.105.13","100.222.241.15","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.168364000","0.010309000",,
"254.238.197.24","47.106.78.19","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.169004000","0.000640000",,
"68.186.34.43","220.110.91.91","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.170091000","0.001087000",,
"11.101.149.64","10.60.6.86","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.175921000","0.005830000",,
"49.72.210.17","174.18.57.56","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.177448000","0.001527000",,
"154.127.1.111","57.252.250.107","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.182860000","0.005412000",,
"96.159.25.108","8.44.239.80","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.184155000","0.001295000",,
"230.254.14.100","122.12.192.59","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.185399000","0.001244000",,
"190.11.162.102","92.44.104.124","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.185959000","0.000560000",,
"241.252.73.27","151.49.221.74","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.193602000","0.007643000",,
"215.24.60.57","72.181.119.88","20","0","0",,,,"64","6",,,,,,,,,,,,,"0.194389000","0.000787000",,
