ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,udp.port,frame.time_relative,frame.time_delta,label
0,0,0,0,0,0,0,0,0,Abnormal_Traffic
0,0,0,0,0,0,0,2.133492,2.133492,Abnormal_Traffic
0,0,0,0,0,0,0,4.356926,2.223434,Abnormal_Traffic
0,0,0,0,0,0,0,6.743756,2.38683,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64112,7.154791,0.411035,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64112,7.177222,0.022431,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64112,7.178887,0.001665,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64112,7.193772,0.014885,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64112,7.195535,0.001763,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64112,7.209992,0.014457,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64112,7.213127,0.003135,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64112,7.243005,0.029878,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,64112,7.243413,0.000408,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,64112,7.265419,0.022006,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55639,7.269318,0.003899,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55639,7.295583,0.026265,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55639,7.322641,0.027058,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55639,7.335683,0.013042,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55639,7.338937,0.003254,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55639,7.371782,0.032845,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55639,7.426933,0.055151,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55639,7.446633,0.0197,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,55639,7.448142,0.001509,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,55639,7.465905,0.017763,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,58860,7.485675,0.01977,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,58860,7.497695,0.01202,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,58860,7.498794,0.001099,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,58860,7.515808,0.017014,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,58860,7.531276,0.015468,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,58860,7.555789,0.024513,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,58860,7.654051,0.098262,Abnormal_Traffic
3232235777,3232235779,56,0,255,1,58860,7.675626,0.021575,Abnormal_Traffic
3232235779,3232235777,70,0,128,17,58860,7.676084,0.000458,Abnormal_Traffic
