ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,frame.time_relative,frame.time_delta,label
0,0,0.0,0.0,0.0,0.0,0.0,0.0,Abnormal_Traffic
0,0,0.0,0.0,0.0,0.0,2.091256,2.091256,Abnormal_Traffic
0,0,0.0,0.0,0.0,0.0,4.159467,2.068211,Abnormal_Traffic
0,0,0.0,0.0,0.0,0.0,6.215494,2.056027,Abnormal_Traffic
0,0,0.0,0.0,0.0,0.0,8.267153,2.051659,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.579968,0.312815,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.593488,0.01352,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.594006,0.000518,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.601593,0.007587,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.602584,0.000991,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.610262,0.007678,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.612351,0.002089,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.617376,0.005025,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.618539,0.001163,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.624686,0.006147,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.627684,0.002998,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.635468,0.007784,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.637371,0.001903,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.642661,0.00529,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,8.644597,0.001936,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,8.65077,0.006173,Abnormal_Traffic
