ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
,,,,,,,,,,,,,,,,,,,,,,"0.000000000","0.000000000",,
,,,,,,,,,,,,,,,,,,,,,,"4.726310000","4.726310000",,
,,,,,,,,,,,,,,,,,,,,,,"9.454960000","4.728650000",,
,,,,,,,,,,,,,,,,,,,,,,"14.155431000","4.700471000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","0","0","0x0002",,,,,,"18.148999000","3.993568000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","0","0","0x0012","0.001950000",,,,,"18.150949000","0.001950000","0.001950000","0.001950000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","0","0","0x0010","0.001929000",,,,,"18.152878000","0.001929000","0.003879000","0.001929000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","0","0","0x0018",,,,"1",,"18.153879000","0.001001000","0.004880000","0.001001000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","0","0","0x0010","0.001927000",,,,,"18.155806000","0.001927000","0.006807000","0.001927000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","0","0","0x0018",,,,,,"18.163623000","0.007817000","0.014624000","0.007817000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","0","0","0x0010","0.002919000",,,,,"18.166542000","0.002919000","0.017543000","0.002919000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","0","0","0x0011",,,,,,"18.167518000","0.000976000","0.018519000","0.000976000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","0","0","0x0011","0.001954000",,,,,"18.169472000","0.001954000","0.020473000","0.001954000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","0","0","0x0010","0.001950000",,,,,"18.171422000","0.001950000","0.022423000","0.001950000"
,,,,,,,,,,,,,,,,,,,,,,"18.891339000","0.719917000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","1","0","0x0002",,,,,,"23.173154000","4.281815000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","1","0","0x0012","0.001950000",,,,,"23.175104000","0.001950000","0.001950000","0.001950000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","1","0","0x0010","0.001953000",,,,,"23.177057000","0.001953000","0.003903000","0.001953000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","1","0","0x0018",,,,"1",,"23.177057000","0.000000000","0.003903000","0.000000000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","1","0","0x0010","0.001952000",,,,,"23.179009000","0.001952000","0.005855000","0.001952000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","1","0","0x0018",,,,,,"23.186817000","0.007808000","0.013663000","0.007808000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","1","0","0x0010","0.001953000",,,,,"23.188770000","0.001953000","0.015616000","0.001953000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","1","0","0x0011",,,,,,"23.189746000","0.000976000","0.016592000","0.000976000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","1","0","0x0011","0.000975000",,,,,"23.190721000","0.000975000","0.017567000","0.000975000"
