ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta,label
0,0,1099726376140,1099726376140,0.0,0.0,Normal_Traffic
0,0,1099726376140,1099726376140,0.004538,0.004538,Normal_Traffic
0,0,1652522221568,1652522221568,0.525547,0.521009,Normal_Traffic
0,0,1652522221568,1652522221568,2.660849,2.135302,Normal_Traffic
0,0,1652522221568,1652522221568,4.805137,2.144288,Normal_Traffic
0,0,1652522221568,1652522221568,6.902218,2.097081,Normal_Traffic
0,0,1652522221568,1652522221568,9.104983,2.202765,Normal_Traffic
0,0,1652522221568,1652522221568,11.392258,2.287275,Normal_Traffic
3232235778,3232235777,219906802581504,219906802581504,14.36941,2.977152,Normal_Traffic
3232235777,3232235778,13259053006848,13259053006848,14.383519,0.014109,Normal_Traffic
0,0,1652522221568,1652522221568,14.408244,0.024725,Normal_Traffic
3232235778,3232235777,219906802581504,219906802581504,16.367747,1.959503,Normal_Traffic
3232235777,3232235778,13259053006848,13259053006848,16.38067,0.012923,Normal_Traffic
3232235778,3232235779,13967729426432,13967729426432,16.382085,0.001415,Normal_Traffic
0,0,281474976710655,281474976710655,16.392022,0.009937,Normal_Traffic
0,0,13967729426432,13967729426432,16.392334,0.000312,Normal_Traffic
3232235779,3232235778,13259053006848,13259053006848,16.411826,0.019492,Normal_Traffic
0,0,1652522221568,1652522221568,16.581075,0.169249,Normal_Traffic
3232235778,3232235779,13967729426432,13967729426432,18.386086,1.805011,Normal_Traffic
3232235779,3232235778,13259053006848,13259053006848,18.39449,0.008404,Normal_Traffic
3232235778,3232235780,14189840039936,14189840039936,18.400726,0.006236,Normal_Traffic
3232235780,3232235778,13259053006848,13259053006848,18.416714,0.015988,Normal_Traffic
0,0,1652522221568,1652522221568,18.805864,0.38915,Normal_Traffic
3232235781,3232236031,281474976710655,281474976710655,19.694793,0.888929,Normal_Traffic
3232235778,3232235780,14189840039936,14189840039936,20.402307,0.707514,Normal_Traffic
3232235780,3232235778,13259053006848,13259053006848,20.423112,0.020805,Normal_Traffic
3232235778,3232235782,13233333338112,13233333338112,20.431502,0.00839,Normal_Traffic
3232235782,3232235778,13259053006848,13259053006848,20.45018,0.018678,Normal_Traffic
0,0,1652522221568,1652522221568,21.015648,0.565468,Normal_Traffic
3232235778,3232235782,13233333338112,13233333338112,22.430964,1.415316,Normal_Traffic
3232235782,3232235778,13259053006848,13259053006848,22.443112,0.012148,Normal_Traffic
3232235778,3232235781,13909683339264,13909683339264,22.444364,0.001252,Normal_Traffic
3232235781,3232235778,13259053006848,13259053006848,22.448654,0.00429,Normal_Traffic
0,0,1652522221568,1652522221568,23.211361,0.762707,Normal_Traffic
0,0,13967729426432,13967729426432,23.383587,0.172226,Normal_Traffic
0,0,13259053006848,13259053006848,23.393361,0.009774,Normal_Traffic
0,0,1099726376140,1099726376140,23.464149,0.070788,Normal_Traffic
0,0,13259053006848,13259053006848,23.525515,0.061366,Normal_Traffic
0,0,14189840039936,14189840039936,23.525884,0.000369,Normal_Traffic
3232235778,3232235781,13909683339264,13909683339264,24.445817,0.919933,Normal_Traffic
3232235781,3232235778,13259053006848,13259053006848,24.452365,0.006548,Normal_Traffic
3232235778,3232235779,13967729426432,13967729426432,24.461522,0.009157,Normal_Traffic
3232235779,3232235778,13259053006848,13259053006848,24.470495,0.008973,Normal_Traffic
0,0,1652522221568,1652522221568,25.3987,0.928205,Normal_Traffic
0,0,13259053006848,13259053006848,25.442418,0.043718,Normal_Traffic
0,0,13233333338112,13233333338112,25.442963,0.000545,Normal_Traffic
3232235779,3232236031,281474976710655,281474976710655,25.92214,0.479177,Normal_Traffic
3232235778,3232235779,13967729426432,13967729426432,26.46166,0.53952,Normal_Traffic
3232235779,3232235778,13259053006848,13259053006848,26.464124,0.002464,Normal_Traffic
3232235778,3232235781,13909683339264,13909683339264,26.465473,0.001349,Normal_Traffic
3232235781,3232235778,13259053006848,13259053006848,26.4746,0.009127,Normal_Traffic
0,0,13259053006848,13259053006848,27.128912,0.654312,Normal_Traffic
0,0,13909683339264,13909683339264,27.129296,0.000384,Normal_Traffic
0,0,1652522221568,1652522221568,27.590188,0.460892,Normal_Traffic
3232235778,3232235781,13909683339264,13909683339264,28.465835,0.875647,Normal_Traffic
